city,date,aqi,pm2_5,pm10,no2,o3,temperature,humidity,hospital_admissions,population_density,hospital_capacity
Cairo,2020-02-01,263.0,47.4,63.0,32.0,60.2,33.1,25.0,16.0,Urban,881.0
Beijing,2020-02-02,52.0,23.5,17.0,44.7,43.0,12.1,65.0,8.0,Urban,177.0
Beijing,2020-02-03,302.0,41.5,52.9,14.9,55.5,6.5,45.0,9.0,Rural,1789.0
Beijing,2020-02-04,204.0,14.8,43.5,10.2,31.3,28.3,35.0,5.0,Urban,1426.0
Delhi,2020-02-05,34.0,51.0,35.6,43.8,39.7,7.7,84.0,14.0,Urban,462.0
Delhi,2020-02-06,124.0,34.5,76.4,18.0,17.1,29.1,53.0,7.0,Urban,261.0
Beijing,2020-02-07,441.0,29.1,60.6,27.1,43.1,18.6,91.0,11.0,Suburban,1334.0
Delhi,2020-02-08,361.0,38.2,58.3,46.9,45.4,16.7,42.0,12.0,Suburban,1996.0
Mexico City,2020-02-09,40.0,39.4,24.4,10.0,36.6,14.4,43.0,2.0,Suburban,1108.0
Beijing,2020-02-10,378.0,27.7,76.6,43.5,38.9,39.1,30.0,8.0,Urban,1500.0
London,2020-02-11,257.0,59.1,49.7,37.6,59.3,34.7,47.0,7.0,Urban,637.0
Los Angeles,2020-02-12,422.0,51.0,31.0,22.2,30.1,12.0,77.0,4.0,Urban,968.0
Beijing,2020-02-13,432.0,10.7,38.6,31.6,47.1,-2.0,69.0,9.0,Urban,784.0
London,2020-02-14,347.0,36.3,81.2,34.1,40.1,10.3,44.0,6.0,Urban,756.0
London,2020-02-15,52.0,31.3,78.5,31.6,28.8,-0.4,27.0,16.0,Urban,1183.0
Beijing,2020-02-16,93.0,5.8,77.8,33.4,57.8,5.1,39.0,11.0,Urban,981.0
Delhi,2020-02-17,415.0,37.4,39.3,20.2,28.5,30.1,22.0,8.0,Suburban,775.0
Mexico City,2020-02-18,140.0,23.4,53.2,33.3,53.0,26.4,21.0,10.0,Rural,342.0
Delhi,2020-02-19,357.0,33.0,26.0,36.1,36.0,27.9,86.0,9.0,Rural,1679.0
Delhi,2020-02-20,265.0,40.6,49.5,34.8,35.0,27.0,56.0,16.0,Suburban,514.0
Delhi,2020-02-21,270.0,46.1,25.5,32.1,26.4,10.7,76.0,12.0,Suburban,1944.0
Los Angeles,2020-02-22,326.0,39.8,60.3,25.0,62.4,25.7,43.0,8.0,Suburban,1773.0
Mexico City,2020-02-23,167.0,1.8,61.1,28.5,34.3,38.7,80.0,4.0,Urban,1777.0
Los Angeles,2020-02-24,235.0,34.9,32.9,24.8,33.9,38.0,26.0,6.0,Rural,1830.0
Los Angeles,2020-02-25,362.0,8.5,46.9,28.6,38.8,36.8,49.0,6.0,Suburban,1954.0
Beijing,2020-02-26,386.0,19.1,36.9,13.8,43.8,35.0,43.0,8.0,Urban,1098.0
Mexico City,2020-02-27,470.0,63.7,27.6,30.2,40.9,20.3,75.0,13.0,Suburban,360.0
Delhi,2020-02-28,93.0,37.0,76.1,54.9,61.8,8.2,64.0,10.0,Urban,594.0
Delhi,2020-02-29,81.0,8.6,30.1,17.5,39.2,24.1,61.0,0.0,Urban,1141.0
Mexico City,2020-03-01,439.0,32.4,54.5,31.4,41.6,4.4,38.0,6.0,Rural,218.0
Beijing,2020-03-02,3.0,67.8,72.4,20.0,39.8,32.8,74.0,12.0,Urban,1136.0
Mexico City,2020-03-03,403.0,27.1,38.2,37.4,51.6,3.5,80.0,11.0,Urban,989.0
Los Angeles,2020-03-04,2.0,4.9,41.6,38.2,37.7,12.0,79.0,0.0,Urban,1966.0
Mexico City,2020-03-05,240.0,33.8,61.9,38.4,27.4,10.1,44.0,0.0,Suburban,423.0
Mexico City,2020-03-06,494.0,68.2,79.2,24.6,46.1,35.0,66.0,8.0,Urban,1036.0
Mexico City,2020-03-07,291.0,28.2,28.9,18.8,29.3,26.8,61.0,9.0,Urban,1051.0
Beijing,2020-03-08,278.0,58.4,60.9,37.8,44.0,11.8,85.0,3.0,Suburban,1648.0
Delhi,2020-03-09,316.0,34.7,54.8,31.3,37.4,32.4,46.0,8.0,Suburban,461.0
Beijing,2020-03-10,253.0,71.4,66.4,27.1,47.8,38.9,86.0,9.0,Rural,641.0
Delhi,2020-03-11,13.0,32.5,43.9,23.1,39.5,8.5,89.0,9.0,Urban,1632.0
Beijing,2020-03-12,95.0,31.7,68.4,14.1,41.5,19.8,64.0,9.0,Suburban,239.0
London,2020-03-13,332.0,44.3,96.6,23.1,41.5,14.3,81.0,7.0,Urban,1518.0
Delhi,2020-03-14,152.0,25.5,63.4,40.4,33.7,24.9,50.0,10.0,Urban,483.0
Delhi,2020-03-15,185.0,29.1,30.3,50.1,45.9,32.7,29.0,13.0,Urban,1554.0
Delhi,2020-03-16,304.0,33.0,53.8,18.4,31.1,-3.7,68.0,7.0,Rural,612.0
Delhi,2020-03-17,22.0,60.7,72.3,24.2,38.0,17.7,37.0,12.0,Rural,1396.0
Mexico City,2020-03-18,74.0,7.0,38.4,46.8,58.7,23.2,75.0,7.0,Urban,661.0
Mexico City,2020-03-19,301.0,17.2,36.4,30.2,24.8,-1.6,33.0,6.0,Urban,1694.0
Los Angeles,2020-03-20,250.0,59.0,50.9,18.2,36.0,32.7,74.0,12.0,Rural,1113.0
Mexico City,2020-03-21,329.0,36.1,50.5,32.2,46.8,14.0,25.0,14.0,Urban,799.0
Beijing,2020-03-22,8.0,18.8,101.9,19.9,50.0,14.3,45.0,3.0,Suburban,1711.0
London,2020-03-23,316.0,42.9,51.1,29.2,46.4,17.1,41.0,12.0,Urban,474.0
Delhi,2020-03-24,371.0,33.7,39.3,20.3,58.9,6.2,79.0,6.0,Suburban,1056.0
Delhi,2020-03-25,491.0,26.1,67.3,45.8,51.3,-3.7,92.0,6.0,Suburban,1348.0
Delhi,2020-03-26,100.0,20.9,21.4,41.5,53.9,6.4,41.0,3.0,Urban,722.0
Los Angeles,2020-03-27,398.0,29.4,53.5,41.4,47.9,31.7,26.0,7.0,Suburban,778.0
Beijing,2020-03-28,489.0,1.5,39.2,24.8,19.2,11.3,51.0,1.0,Urban,754.0
Delhi,2020-03-29,166.0,26.6,55.7,45.1,42.4,26.4,57.0,6.0,Urban,1802.0
Beijing,2020-03-30,481.0,50.3,31.5,28.7,46.5,20.8,83.0,14.0,Urban,1828.0
Delhi,2020-03-31,278.0,44.7,64.8,60.8,35.4,1.2,80.0,5.0,Suburban,317.0
Mexico City,2020-04-01,46.0,28.4,69.4,22.9,33.0,23.7,63.0,5.0,Suburban,1681.0
Beijing,2020-04-02,369.0,14.3,53.6,26.9,46.8,31.2,51.0,8.0,Suburban,664.0
Beijing,2020-04-03,238.0,26.8,18.4,37.4,38.4,31.5,56.0,12.0,Urban,1000.0
Beijing,2020-04-04,37.0,0.3,80.8,40.7,37.4,31.1,67.0,9.0,Urban,1368.0
Mexico City,2020-04-05,142.0,41.0,45.5,42.7,32.6,34.9,33.0,13.0,Urban,55.0
Beijing,2020-04-06,254.0,42.5,59.3,22.5,44.6,21.9,52.0,2.0,Urban,209.0
Delhi,2020-04-07,275.0,46.2,61.5,19.7,38.9,0.5,59.0,10.0,Urban,626.0
Delhi,2020-04-08,232.0,50.1,47.0,24.9,55.1,-4.8,86.0,16.0,Rural,967.0
Cairo,2020-04-09,285.0,46.7,50.7,46.5,47.8,22.7,52.0,4.0,Urban,1013.0
Tokyo,2020-04-10,359.0,35.7,35.4,35.6,51.7,34.6,64.0,5.0,Urban,714.0
Mexico City,2020-04-11,379.0,27.1,26.8,31.8,45.9,27.5,44.0,9.0,Urban,868.0
Delhi,2020-04-12,251.0,26.3,33.2,40.8,19.2,22.2,39.0,9.0,Suburban,1573.0
Cairo,2020-04-13,320.0,33.5,57.1,23.8,17.0,27.3,62.0,5.0,Rural,1429.0
Los Angeles,2020-04-14,418.0,45.8,74.3,20.8,35.2,37.4,25.0,9.0,Rural,553.0
Los Angeles,2020-04-15,85.0,20.2,57.3,26.0,37.5,21.6,40.0,9.0,Urban,1874.0
Beijing,2020-04-16,189.0,38.4,84.2,43.8,15.9,17.2,31.0,6.0,Suburban,1489.0
Delhi,2020-04-17,263.0,19.3,65.5,27.0,44.7,22.1,48.0,10.0,Suburban,473.0
Delhi,2020-04-18,128.0,41.4,58.3,39.4,50.1,1.5,65.0,13.0,Urban,107.0
Tokyo,2020-04-19,469.0,24.0,73.3,34.7,25.5,34.1,35.0,6.0,Urban,1739.0
Beijing,2020-04-20,270.0,62.9,48.0,22.4,32.4,-0.2,51.0,11.0,Urban,287.0
Delhi,2020-04-21,16.0,29.7,66.2,43.1,38.3,34.0,33.0,3.0,Urban,1628.0
Beijing,2020-04-22,64.0,37.8,52.0,39.4,22.4,27.7,67.0,4.0,Rural,1280.0
Mexico City,2020-04-23,21.0,15.4,56.8,36.3,24.0,30.5,67.0,2.0,Suburban,1122.0
Delhi,2020-04-24,129.0,42.2,58.2,24.4,35.5,33.8,73.0,4.0,Suburban,1013.0
London,2020-04-25,123.0,50.0,34.8,32.4,35.6,15.5,52.0,13.0,Urban,1473.0
Los Angeles,2020-04-26,69.0,21.9,40.8,38.5,33.1,14.2,66.0,11.0,Rural,1075.0
Los Angeles,2020-04-27,382.0,33.2,83.7,23.0,38.7,-3.7,40.0,15.0,Urban,471.0
Beijing,2020-04-28,149.0,20.3,2.9,7.7,46.5,36.7,46.0,10.0,Suburban,1709.0
Mexico City,2020-04-29,499.0,31.7,35.3,25.1,21.8,-1.0,50.0,3.0,Urban,1394.0
Mexico City,2020-04-30,40.0,48.4,82.5,27.1,59.1,29.4,59.0,7.0,Suburban,1227.0
Mexico City,2020-05-01,90.0,65.1,31.0,35.2,41.7,39.6,27.0,11.0,Suburban,1628.0
Delhi,2020-05-02,325.0,45.9,69.5,39.9,31.3,22.1,48.0,10.0,Urban,1141.0
Beijing,2020-05-03,145.0,16.2,39.3,29.5,39.7,24.1,38.0,6.0,Rural,446.0
Delhi,2020-05-04,422.0,33.3,76.5,27.2,46.8,5.3,25.0,9.0,Urban,1620.0
Beijing,2020-05-05,431.0,46.1,66.7,20.6,44.7,31.8,49.0,11.0,Urban,1381.0
Beijing,2020-05-06,178.0,11.3,65.7,19.1,49.4,13.7,70.0,2.0,Suburban,574.0
Delhi,2020-05-07,325.0,39.7,54.9,41.1,27.9,5.6,27.0,10.0,Urban,1192.0
Delhi,2020-05-08,223.0,37.6,53.5,40.1,40.3,16.3,39.0,11.0,Suburban,689.0
Mexico City,2020-05-09,155.0,67.0,27.8,10.6,55.7,5.3,45.0,13.0,Urban,276.0
Delhi,2020-05-10,28.0,35.0,43.8,40.8,30.4,28.5,76.0,9.0,Urban,974.0
Tokyo,2020-05-11,349.0,57.2,14.9,34.8,51.9,22.9,36.0,8.0,Urban,480.0
Mexico City,2020-05-12,153.0,31.2,38.5,47.2,78.5,28.7,68.0,3.0,Urban,113.0
Beijing,2020-05-13,89.0,45.0,66.1,37.4,41.8,4.4,55.0,11.0,Urban,975.0
Mexico City,2020-05-14,61.0,40.0,64.9,26.8,34.0,20.3,29.0,15.0,Suburban,1110.0
Delhi,2020-05-15,355.0,60.6,16.6,14.2,44.8,35.7,52.0,12.0,Suburban,589.0
Cairo,2020-05-16,190.0,56.0,49.7,46.3,46.5,21.9,38.0,11.0,Suburban,808.0
Beijing,2020-05-17,54.0,28.2,64.1,40.3,53.2,-0.6,85.0,13.0,Suburban,794.0
Los Angeles,2020-05-18,281.0,11.9,20.8,26.2,44.9,16.8,77.0,3.0,Suburban,596.0
Delhi,2020-05-19,286.0,48.2,71.8,44.1,48.3,7.8,51.0,6.0,Suburban,970.0
Beijing,2020-05-20,413.0,60.8,53.1,43.2,13.0,25.2,64.0,9.0,Urban,523.0
Beijing,2020-05-21,244.0,12.1,67.0,46.2,38.2,32.4,56.0,3.0,Urban,140.0
Tokyo,2020-05-22,97.0,61.5,47.8,26.7,23.8,33.1,63.0,10.0,Suburban,368.0
Mexico City,2020-05-23,218.0,22.5,35.1,31.4,62.0,11.1,39.0,6.0,Urban,1770.0
Beijing,2020-05-24,363.0,55.7,30.9,26.0,20.6,24.3,60.0,9.0,Suburban,772.0
Delhi,2020-05-25,273.0,34.5,46.3,26.7,56.7,23.2,51.0,7.0,Urban,1000.0
Beijing,2020-05-26,137.0,54.1,75.0,25.2,45.5,11.7,58.0,5.0,Urban,505.0
Beijing,2020-05-27,494.0,41.4,84.6,26.0,46.2,13.3,41.0,12.0,Rural,1308.0
Beijing,2020-05-28,433.0,51.3,44.5,32.8,49.1,2.9,40.0,8.0,Urban,1673.0
Delhi,2020-05-29,267.0,30.0,78.5,20.8,33.2,0.7,92.0,11.0,Urban,234.0
London,2020-05-30,402.0,14.6,73.6,30.3,28.1,36.9,38.0,5.0,Urban,141.0
Tokyo,2020-05-31,76.0,51.4,51.4,39.0,21.6,34.7,50.0,4.0,Suburban,1884.0
Delhi,2020-06-01,375.0,51.9,62.8,21.6,18.4,26.7,66.0,11.0,Suburban,863.0
Mexico City,2020-06-02,95.0,29.2,34.2,41.1,37.7,34.3,63.0,8.0,Urban,1193.0
Delhi,2020-06-03,409.0,41.5,60.0,27.7,28.4,39.5,65.0,15.0,Urban,82.0
Mexico City,2020-06-04,120.0,26.7,87.5,32.7,36.0,8.9,71.0,6.0,Urban,364.0
Delhi,2020-06-05,271.0,13.9,39.8,48.6,54.5,0.8,23.0,2.0,Urban,1662.0
Mexico City,2020-06-06,365.0,40.6,33.9,19.5,37.3,-2.7,72.0,6.0,Urban,594.0
Los Angeles,2020-06-07,12.0,44.7,58.3,28.9,68.6,14.6,74.0,3.0,Urban,334.0
Los Angeles,2020-06-08,92.0,29.4,65.5,19.7,31.8,-2.9,38.0,10.0,Urban,1196.0
Delhi,2020-06-09,110.0,54.6,69.1,44.5,36.7,15.6,63.0,14.0,Suburban,75.0
Tokyo,2020-06-10,103.0,23.1,21.9,48.0,15.0,29.5,23.0,7.0,Rural,1381.0
Delhi,2020-06-11,393.0,53.4,16.7,26.5,33.2,39.2,68.0,9.0,Urban,1226.0
Delhi,2020-06-12,489.0,18.3,21.6,22.7,40.2,37.3,58.0,9.0,Suburban,1796.0
Mexico City,2020-06-13,208.0,42.2,58.7,28.3,32.7,38.0,93.0,2.0,Urban,1565.0
Beijing,2020-06-14,378.0,36.7,56.4,35.4,68.8,-3.6,73.0,7.0,Urban,1954.0
London,2020-06-15,112.0,49.9,27.0,43.4,39.8,24.3,23.0,8.0,Urban,1384.0
London,2020-06-16,190.0,41.3,36.9,32.3,26.7,1.6,42.0,13.0,Urban,470.0
Beijing,2020-06-17,82.0,41.6,32.3,22.1,23.6,3.5,47.0,12.0,Urban,1617.0
Cairo,2020-06-18,292.0,34.8,81.8,32.2,34.3,17.3,64.0,8.0,Urban,1383.0
Delhi,2020-06-19,144.0,43.5,59.0,46.5,54.3,35.2,80.0,6.0,Urban,597.0
Beijing,2020-06-20,233.0,16.4,33.7,27.2,50.4,28.2,41.0,4.0,Urban,1652.0
Delhi,2020-06-21,336.0,0.3,64.3,39.0,23.3,29.6,38.0,3.0,Suburban,1072.0
Tokyo,2020-06-22,308.0,64.9,72.5,15.4,21.6,17.9,24.0,15.0,Suburban,722.0
Delhi,2020-06-23,222.0,10.0,32.8,19.9,23.3,8.0,33.0,3.0,Urban,534.0
Delhi,2020-06-24,476.0,62.0,24.8,31.8,34.8,6.5,66.0,12.0,Urban,225.0
Beijing,2020-06-25,444.0,24.3,52.9,34.3,27.7,19.9,56.0,4.0,Suburban,1261.0
Tokyo,2020-06-27,16.0,56.3,41.2,34.1,33.2,29.1,35.0,14.0,Urban,1448.0
Los Angeles,2020-06-28,261.0,33.3,41.5,21.0,25.3,5.0,78.0,8.0,Suburban,1537.0
Tokyo,2020-06-29,492.0,33.4,46.5,20.1,46.9,-3.8,36.0,10.0,Urban,1027.0
Tokyo,2020-06-30,73.0,24.9,56.2,18.8,37.5,37.3,54.0,8.0,Urban,453.0
Beijing,2020-07-01,279.0,35.7,61.4,40.7,32.3,23.8,77.0,5.0,Rural,1823.0
Beijing,2020-07-02,31.0,40.1,72.5,28.9,40.8,21.6,27.0,6.0,Urban,1034.0
Los Angeles,2020-07-03,357.0,67.3,41.1,27.5,43.9,12.9,49.0,10.0,Rural,1179.0
Mexico City,2020-07-04,243.0,7.9,34.1,29.6,33.6,7.4,67.0,4.0,Suburban,660.0
Beijing,2020-07-05,121.0,32.9,47.9,29.4,39.5,8.4,55.0,9.0,Urban,852.0
Delhi,2020-07-06,33.0,46.3,19.2,27.3,19.7,39.3,28.0,10.0,Urban,251.0
Los Angeles,2020-07-07,56.0,15.6,71.2,23.4,18.2,39.3,70.0,4.0,Suburban,506.0
Delhi,2020-07-08,490.0,52.6,53.2,33.3,38.8,16.0,31.0,8.0,Suburban,1725.0
Tokyo,2020-07-09,426.0,54.3,54.2,15.3,35.8,28.6,56.0,12.0,Urban,272.0
Delhi,2020-07-10,252.0,47.9,19.7,25.6,54.4,13.3,73.0,10.0,Urban,1214.0
Delhi,2020-07-11,471.0,29.0,26.5,53.0,39.4,6.2,70.0,13.0,Urban,1135.0
London,2020-07-12,80.0,48.4,33.3,47.5,43.9,11.1,30.0,7.0,Urban,938.0
Delhi,2020-07-13,34.0,33.0,84.3,21.8,35.4,-3.5,29.0,13.0,Suburban,836.0
Delhi,2020-07-14,116.0,29.4,58.3,35.1,34.6,31.3,32.0,11.0,Urban,256.0
Mexico City,2020-07-15,220.0,47.3,63.2,24.3,63.0,23.2,36.0,7.0,Urban,1746.0
London,2020-07-16,113.0,27.8,36.8,33.6,38.4,1.0,80.0,10.0,Rural,1515.0
Delhi,2020-07-17,479.0,49.2,67.1,46.4,53.8,25.6,84.0,9.0,Urban,1208.0
Beijing,2020-07-18,256.0,49.0,45.6,28.7,59.2,37.9,50.0,10.0,Suburban,979.0
Los Angeles,2020-07-19,118.0,51.8,48.3,20.8,38.0,-1.1,78.0,9.0,Urban,1995.0
Cairo,2020-07-20,220.0,24.1,57.6,27.3,53.9,28.9,50.0,3.0,Urban,1180.0
Beijing,2020-07-21,494.0,44.1,73.8,34.3,34.8,34.4,82.0,10.0,Suburban,1037.0
Delhi,2020-07-22,313.0,30.9,60.7,24.8,63.0,16.9,46.0,5.0,Suburban,104.0
Delhi,2020-07-23,50.0,67.0,87.3,35.0,45.9,13.8,63.0,9.0,Suburban,1532.0
Delhi,2020-07-24,200.0,15.5,84.5,19.5,39.6,11.0,77.0,10.0,Urban,1795.0
Delhi,2020-07-25,450.0,37.4,73.6,23.6,39.3,24.6,65.0,4.0,Urban,1980.0
Mexico City,2020-07-26,337.0,34.0,53.7,30.6,56.8,26.7,49.0,6.0,Rural,1521.0
Delhi,2020-07-27,311.0,35.7,79.0,31.5,34.2,36.3,27.0,12.0,Urban,322.0
Beijing,2020-07-28,188.0,16.0,30.9,25.6,55.0,9.0,31.0,9.0,Suburban,510.0
Mexico City,2020-07-29,456.0,23.9,13.4,37.9,41.5,33.7,48.0,6.0,Urban,1886.0
Mexico City,2020-07-30,153.0,14.4,60.7,15.5,17.4,20.3,26.0,6.0,Urban,1451.0
Delhi,2020-07-31,95.0,13.8,73.3,37.4,16.3,5.7,50.0,5.0,Urban,488.0
London,2020-08-01,20.0,30.1,28.0,29.9,35.6,0.2,93.0,8.0,Suburban,1086.0
Los Angeles,2020-08-02,375.0,70.1,30.0,26.0,28.1,0.7,42.0,14.0,Suburban,852.0
Los Angeles,2020-08-03,397.0,48.3,63.2,22.3,24.1,23.0,60.0,12.0,Rural,1560.0
Delhi,2020-08-04,19.0,25.4,53.8,23.2,41.8,17.1,36.0,9.0,Urban,1618.0
Delhi,2020-08-05,251.0,32.9,52.2,33.5,38.6,6.1,54.0,8.0,Urban,134.0
Tokyo,2020-08-06,121.0,17.8,59.8,31.9,54.4,-0.5,57.0,4.0,Urban,1640.0
Beijing,2020-08-07,99.0,4.6,74.0,22.7,39.2,40.0,51.0,6.0,Urban,862.0
Beijing,2020-08-08,449.0,35.8,39.6,38.7,43.0,-0.0,29.0,3.0,Suburban,206.0
Beijing,2020-08-09,229.0,31.9,44.6,23.8,36.2,23.1,44.0,2.0,Urban,1881.0
Mexico City,2020-08-10,336.0,32.4,54.4,11.5,30.1,30.2,68.0,5.0,Urban,1592.0
Cairo,2020-08-11,164.0,28.6,37.8,16.0,46.4,10.7,74.0,13.0,Suburban,573.0
Delhi,2020-08-12,339.0,27.8,25.7,43.3,58.2,3.1,79.0,7.0,Urban,132.0
Tokyo,2020-08-13,107.0,42.6,57.0,37.9,43.5,-0.5,57.0,7.0,Urban,641.0
Delhi,2020-08-14,214.0,18.6,10.0,22.0,44.5,-1.9,64.0,6.0,Urban,182.0
Mexico City,2020-08-16,94.0,9.1,43.3,42.5,35.0,20.1,57.0,7.0,Urban,1831.0
Delhi,2020-08-17,232.0,63.7,46.4,45.2,46.6,13.3,34.0,12.0,Urban,1094.0
Delhi,2020-08-18,262.0,46.5,17.9,30.2,30.2,27.1,25.0,13.0,Urban,1720.0
Beijing,2020-08-19,215.0,25.3,41.5,31.1,36.9,-3.8,77.0,4.0,Urban,972.0
Cairo,2020-08-20,129.0,29.9,46.9,31.0,31.0,-3.6,69.0,8.0,Urban,1842.0
Mexico City,2020-08-21,234.0,47.0,52.7,25.3,42.6,23.6,52.0,7.0,Urban,1679.0
Tokyo,2020-08-22,126.0,49.1,49.2,4.4,29.6,21.7,45.0,6.0,Suburban,1363.0
London,2020-08-23,326.0,26.9,53.3,34.7,42.8,30.8,34.0,4.0,Urban,1852.0
Beijing,2020-08-24,147.0,26.8,34.4,31.2,38.0,27.6,87.0,7.0,Urban,166.0
Los Angeles,2020-08-25,399.0,26.0,32.6,38.9,23.3,-4.3,86.0,3.0,Urban,570.0
Delhi,2020-08-26,152.0,46.0,30.2,35.1,60.7,-2.1,24.0,11.0,Urban,1858.0
Delhi,2020-08-27,231.0,30.9,51.8,46.9,25.6,9.3,35.0,14.0,Suburban,285.0
London,2020-08-28,251.0,43.1,75.3,20.1,29.6,35.5,39.0,6.0,Urban,367.0
Los Angeles,2020-08-29,271.0,40.9,5.7,14.4,45.3,34.0,78.0,2.0,Rural,1112.0
Delhi,2020-08-30,76.0,28.8,74.7,45.3,45.7,27.0,34.0,7.0,Rural,378.0
Beijing,2020-08-31,322.0,15.3,80.1,13.7,27.2,37.0,78.0,6.0,Urban,1688.0
Mexico City,2020-09-01,262.0,50.9,7.5,20.4,56.8,9.4,22.0,9.0,Suburban,1982.0
London,2020-09-02,87.0,37.1,72.6,47.1,15.4,9.9,72.0,14.0,Suburban,330.0
Mexico City,2020-09-03,316.0,38.0,59.1,22.8,24.5,14.8,26.0,10.0,Suburban,1889.0
Beijing,2020-09-04,385.0,34.8,57.2,50.2,48.0,6.1,26.0,10.0,Urban,710.0
Beijing,2020-09-05,244.0,16.4,60.3,39.1,40.1,34.8,65.0,5.0,Suburban,1537.0
Beijing,2020-09-06,16.0,29.0,18.5,37.2,16.5,16.7,25.0,6.0,Urban,538.0
Mexico City,2020-09-07,339.0,39.1,45.0,30.8,37.4,29.6,81.0,9.0,Urban,1947.0
London,2020-09-08,118.0,27.1,25.1,12.1,44.7,38.1,29.0,5.0,Urban,1907.0
Beijing,2020-09-09,307.0,40.6,53.5,25.2,44.9,24.1,21.0,7.0,Urban,1370.0
Delhi,2020-09-10,492.0,33.1,8.3,34.3,38.4,35.7,86.0,6.0,Urban,305.0
Delhi,2020-09-11,162.0,14.4,59.7,44.3,20.9,0.0,87.0,7.0,Urban,112.0
Los Angeles,2020-09-12,312.0,7.4,60.5,28.1,46.7,37.5,76.0,8.0,Suburban,587.0
London,2020-09-13,426.0,41.1,58.2,28.7,4.2,22.3,83.0,10.0,Suburban,801.0
Delhi,2020-09-14,210.0,23.1,14.4,37.7,42.2,11.2,42.0,8.0,Urban,1626.0
Delhi,2020-09-15,204.0,30.6,48.9,31.6,35.3,38.9,40.0,8.0,Suburban,1317.0
Mexico City,2020-09-16,368.0,22.5,34.8,36.5,49.1,13.2,67.0,10.0,Urban,575.0
Delhi,2020-09-17,491.0,50.5,48.1,32.9,58.4,6.5,79.0,6.0,Suburban,1354.0
London,2020-09-18,195.0,14.7,19.8,52.4,56.6,16.9,50.0,1.0,Urban,694.0
Beijing,2020-09-19,257.0,48.7,55.8,1.4,36.8,21.0,56.0,11.0,Urban,1674.0
